model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std
logistic_regression,0.9714,0.0149,0.9886,0.0229,0.9353,0.0432,0.9603,0.0218,0.9949,0.0051,0.9941,0.0048,0.0232,0.0044
random_forest,0.9582,0.0162,0.9471,0.021,0.9412,0.0372,0.9437,0.0223,0.9863,0.0075,0.9847,0.008,0.0351,0.0101
gradient_boosting,0.9648,0.0162,0.9697,0.0186,0.9353,0.0343,0.9519,0.0226,0.9914,0.0057,0.99,0.0053,0.0251,0.0101
svm,0.967,0.0098,0.9653,0.0209,0.9471,0.0432,0.9551,0.0146,0.9938,0.0067,0.9931,0.0056,0.0217,0.0058
