model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std
logistic_regression,0.9736,0.0149,0.9771,0.028,0.9529,0.0399,0.964,0.0207,0.9958,0.0047,0.9949,0.0046,0.0191,0.0063
random_forest,0.9604,0.0164,0.9584,0.0221,0.9353,0.039,0.9461,0.0226,0.988,0.0073,0.9865,0.0074,0.032,0.0088
gradient_boosting,0.967,0.0139,0.9646,0.0211,0.9471,0.0343,0.9553,0.0196,0.9908,0.0054,0.9892,0.0049,0.0275,0.0102
svm,0.9758,0.0082,0.9773,0.0209,0.9588,0.0399,0.967,0.012,0.9949,0.005,0.9939,0.0047,0.0219,0.0035
xgboost,0.9714,0.0112,0.9704,0.0181,0.9529,0.0235,0.9614,0.0154,0.9942,0.0039,0.9925,0.004,0.0222,0.0082
